StudentID,AcademicYear,Term,Subject,Score,ClassLevel
1001,2021,First Term,Mathematics,74.20333495819276,SS2
1001,2021,First Term,English Language,83.20027202005417,SS2
1001,2021,First Term,Physics,85.14817832208827,SS2
1001,2021,First Term,Chemistry,44.22390319261805,SS2
1001,2021,First Term,Biology,93.54278345938246,SS2
1001,2021,First Term,Economics,40.29470836901229,SS2
1001,2021,First Term,Government,53.430024043111146,SS2
1001,2021,First Term,Civic Education,69.44638343083186,SS2
1001,2021,First Term,Literature in English,68.70627857781773,SS2
1001,2021,First Term,Agricultural Science,60.20329090952633,SS2
1001,2021,First Term,Technical Drawing,82.98840671587541,SS2
1001,2021,First Term,Further Mathematics,56.391247599328274,SS2
1001,2021,First Term,Yoruba,90.55696433038653,SS2
1001,2021,Second Term,Mathematics,90.75138618376023,SS2
1001,2021,Second Term,English Language,59.52596083492162,SS2
1001,2021,Second Term,Physics,59.49666641904153,SS2
1001,2021,Second Term,Chemistry,73.85999967741444,SS2
1001,2021,Second Term,Biology,69.89042421217945,SS2
1001,2021,Second Term,Economics,65.53416831738085,SS2
1001,2021,Second Term,Government,63.44823746260798,SS2
1001,2021,Second Term,Civic Education,75.27505295555365,SS2
1001,2021,Second Term,Literature in English,63.12637080027392,SS2
1001,2021,Second Term,Agricultural Science,70.19361066718295,SS2
1001,2021,Second Term,Technical Drawing,83.18818816506413,SS2
1001,2021,Second Term,Further Mathematics,91.33620179148454,SS2
1001,2021,Second Term,Yoruba,40.37342208227864,SS2
1001,2021,Third Term,Mathematics,69.28963547520644,SS2
1001,2021,Third Term,English Language,84.49677357377936,SS2
1001,2021,Third Term,Physics,80.23391139529197,SS2
1001,2021,Third Term,Chemistry,49.011829791284164,SS2
1001,2021,Third Term,Biology,45.061659065228916,SS2
1001,2021,Third Term,Economics,65.0568320288974,SS2
1001,2021,Third Term,Government,77.62897749472786,SS2
1001,2021,Third Term,Civic Education,73.46195224993517,SS2
1001,2021,Third Term,Literature in English,78.61193684517596,SS2
1001,2021,Third Term,Agricultural Science,42.82914548839477,SS2
1001,2021,Third Term,Technical Drawing,91.70993839867697,SS2
1001,2021,Third Term,Further Mathematics,53.25490831321336,SS2
1001,2021,Third Term,Yoruba,73.83083885740685,SS2
1001,2022,First Term,Mathematics,91.12855019167151,SS2
1001,2022,First Term,English Language,40.66827924243625,SS2
1001,2022,First Term,Physics,92.95960428064825,SS2
1001,2022,First Term,Chemistry,65.05932059966067,SS2
1001,2022,First Term,Biology,48.03714689553025,SS2
1001,2022,First Term,Economics,83.1073262624743,SS2
1001,2022,First Term,Government,79.12242087368944,SS2
1001,2022,First Term,Civic Education,97.86722935470266,SS2
1001,2022,First Term,Literature in English,53.89623562795858,SS2
1001,2022,First Term,Agricultural Science,55.568572855740655,SS2
1001,2022,First Term,Technical Drawing,75.97069759795707,SS2
1001,2022,First Term,Further Mathematics,66.02949106729179,SS2
1001,2022,First Term,Yoruba,98.79578868850041,SS2
1001,2022,Second Term,Mathematics,84.15751234123188,SS2
1001,2022,Second Term,English Language,73.52390569296797,SS2
1001,2022,Second Term,Physics,95.35268772548265,SS2
1001,2022,Second Term,Chemistry,52.6178175938219,SS2
1001,2022,Second Term,Biology,93.58977343686502,SS2
1001,2022,Second Term,Economics,45.39623375367793,SS2
1001,2022,Second Term,Government,82.30349926602098,SS2
1001,2022,Second Term,Civic Education,43.60850866251303,SS2
1001,2022,Second Term,Literature in English,72.07559488112315,SS2
1001,2022,Second Term,Agricultural Science,63.21737870171427,SS2
1001,2022,Second Term,Technical Drawing,76.68460481804723,SS2
1001,2022,Second Term,Further Mathematics,65.54517826247103,SS2
1001,2022,Second Term,Yoruba,48.06507099033265,SS2
1001,2022,Third Term,Mathematics,86.83781862820716,SS2
1001,2022,Third Term,English Language,74.77094618933506,SS2
1001,2022,Third Term,Physics,81.59790747418049,SS2
1001,2022,Third Term,Chemistry,86.42983716612028,SS2
1001,2022,Third Term,Biology,71.42256591982684,SS2
1001,2022,Third Term,Economics,63.21672836704971,SS2
1001,2022,Third Term,Government,70.54572946668848,SS2
1001,2022,Third Term,Civic Education,79.0622650516678,SS2
1001,2022,Third Term,Literature in English,96.48720676462986,SS2
1001,2022,Third Term,Agricultural Science,68.70615421883475,SS2
1001,2022,Third Term,Technical Drawing,96.99480364061115,SS2
1001,2022,Third Term,Further Mathematics,68.71014274662383,SS2
1001,2022,Third Term,Yoruba,46.492046954993036,SS2
1001,2023,First Term,Mathematics,81.87356702271023,SS2
1001,2023,First Term,English Language,47.28897102992184,SS2
1001,2023,First Term,Physics,43.865183030750245,SS2
1001,2023,First Term,Chemistry,70.81640636664059,SS2
1001,2023,First Term,Biology,70.88498524307518,SS2
1001,2023,First Term,Economics,60.47716945173073,SS2
1001,2023,First Term,Government,44.0757044100605,SS2
1001,2023,First Term,Civic Education,75.63290534094786,SS2
1001,2023,First Term,Literature in English,66.61253148964605,SS2
1001,2023,First Term,Agricultural Science,43.90931157513934,SS2
1001,2023,First Term,Technical Drawing,86.9894638760716,SS2
1001,2023,First Term,Further Mathematics,89.67165726535222,SS2
1001,2023,First Term,Yoruba,55.22219745603259,SS2
1001,2023,Second Term,Mathematics,64.92569146744106,SS2
1001,2023,Second Term,English Language,66.17889318335757,SS2
1001,2023,Second Term,Physics,71.63706987026602,SS2
1001,2023,Second Term,Chemistry,67.19775728638558,SS2
1001,2023,Second Term,Biology,95.3822896557112,SS2
1001,2023,Second Term,Economics,50.323611518152674,SS2
1001,2023,Second Term,Government,69.35419245913752,SS2
1001,2023,Second Term,Civic Education,96.22145365507131,SS2
1001,2023,Second Term,Literature in English,52.600086655477064,SS2
1001,2023,Second Term,Agricultural Science,95.73303221604151,SS2
1001,2023,Second Term,Technical Drawing,65.20366192434345,SS2
1001,2023,Second Term,Further Mathematics,70.62911684598865,SS2
1001,2023,Second Term,Yoruba,49.18347947576423,SS2
1001,2023,Third Term,Mathematics,96.12076717533787,SS2
1001,2023,Third Term,English Language,41.24635647719306,SS2
